Copepod,Temp,Treatment_Nalive,Control_Nalive,Pred_length_mm
viridis,25,14,24,2.4
viridis,25,15,24,2.5
viridis,25,16,23,2.1
viridis,25,18,21,1.7
viridis,25,16,24,2.2
viridis,25,18,23,2.3
viridis,25,16,24,2.2
viridis,20,12,22,2.2
viridis,20,15,20,2.1
viridis,20,10,24,2.2
viridis,20,14,21,2.2
viridis,20,20,23,2.1
viridis,20,15,19,2.2
viridis,20,14,20,2.2
viridis,20,19,21,2.4
viridis,15,16,23,2.3
viridis,15,19,21,1.9
viridis,15,16,24,2.5
viridis,15,17,23,2
viridis,15,20,23,2.1
viridis,15,17,23,2.1
viridis,15,17,23,2.2
viridis,15,19,23,2.3
albidus,25,16,24,1.7
albidus,25,19,24,1.9
albidus,25,19,23,1.8
albidus,25,19,21,1.6
albidus,25,22,24,1.7
albidus,25,20,23,1.8
albidus,25,15,24,1.7
albidus,25,14,24,1.8
albidus,20,19,22,2
albidus,20,19,20,1.6
albidus,20,17,24,1.7
albidus,20,18,21,1.6
albidus,20,18,23,1.5
albidus,20,17,19,1.8
albidus,20,17,20,1.7
albidus,20,17,21,1.6
albidus,15,18,23,1.4
albidus,15,19,21,1.6
albidus,15,18,24,1.7
albidus,15,15,23,1.7
albidus,15,20,23,1.7
albidus,15,20,23,1.9
albidus,15,20,23,1.7
albidus,15,14,23,2
